site_id,ncollege,college,total_pop,college_percentage,volume,sent,left,total,sign_percentage,has_spouse,spouse_percentage
花蓮縣豐濱鄉,3652,422,4074,0.10358370152184586,1,50,27,77,0.018900343642611683,1680,0.41237113402061853
花蓮縣鳳林鎮,7750,2168,9918,0.21859245815688647,2,100,119,219,0.022081064730792497,4696,0.4734825569671305
花蓮縣富里鄉,8135,1268,9403,0.1348505796022546,1,50,117,167,0.017760289269382112,4257,0.45272785281293204
花蓮縣光復鄉,9677,2056,11733,0.17523225091621922,2,100,181,281,0.023949544021136963,5010,0.4270007670672462
花蓮縣花蓮市,55452,33320,88772,0.3753435768034966,34,1700,1280,2980,0.03356914342360204,41124,0.4632541792457081
花蓮縣吉安鄉,50610,24471,75081,0.3259279977624166,24,1200,1034,2234,0.029754531772352526,35309,0.47027876559981885
花蓮縣瑞穗鄉,8738,1846,10584,0.17441421012849584,2,100,129,229,0.021636432350718066,4692,0.4433106575963719
花蓮縣壽豐鄉,12943,3427,16370,0.2093463653023824,4,200,284,484,0.02956627978008552,7490,0.4575442883323152
花蓮縣萬榮鄉,4613,812,5425,0.14967741935483872,0,0,177,177,0.03262672811059908,2108,0.38857142857142857
花蓮縣新城鄉,13271,4460,17731,0.25153685635327955,5,250,217,467,0.02633805199932322,7724,0.43562122835711464
花蓮縣秀林鄉,11239,1981,13220,0.14984871406959152,3,150,160,310,0.023449319213313162,5102,0.3859304084720121
花蓮縣玉里鎮,17292,4461,21753,0.20507516204661427,4,200,298,498,0.022893394014618672,9089,0.41782742610214685
花蓮縣卓溪鄉,4304,782,5086,0.15375540699960677,0,0,138,138,0.027133307117577665,2062,0.4054266614235155
基隆市安樂區,47497,25478,72975,0.3491332648167181,27,1350,1317,2667,0.036546762589928054,34547,0.4734087016101405
基隆市暖暖區,23252,11263,34515,0.3263218890337534,13,650,600,1250,0.036216137911053166,16108,0.4666956395769955
基隆市七堵區,33046,14945,47991,0.31141255652101435,15,750,702,1452,0.030255672938676002,22878,0.47671438394699006
基隆市仁愛區,26132,12053,38185,0.3156475055650124,12,600,541,1141,0.02988084326306141,17723,0.46413513159617653
基隆市信義區,30444,16714,47158,0.3544255481572586,18,900,945,1845,0.039123796598668305,22109,0.4688281945799228
基隆市中山區,31380,12292,43672,0.2814618061916102,14,700,645,1345,0.03079776515845393,19515,0.44685381938083896
基隆市中正區,33771,13590,47361,0.28694495470957115,15,750,695,1445,0.030510335508118495,21303,0.4498004687401026
嘉義市東區,61334,44360,105694,0.4197021590629553,61,3050,716,3766,0.035631161655344676,51471,0.4869812855980472
嘉義市西區,80747,45353,126100,0.35965900079302143,65,3250,586,3836,0.0304203013481364,60568,0.4803172085646312
嘉義縣阿里山鄉,4080,790,4870,0.162217659137577,1,50,69,119,0.024435318275154005,2392,0.49117043121149895
嘉義縣布袋鎮,19786,5106,24892,0.20512614494616743,5,250,172,422,0.01695323798810863,12835,0.5156275108468584
嘉義縣大埔鄉,3320,779,4099,0.19004635276896803,1,50,32,82,0.02000487923883874,2151,0.5247621371066113
嘉義縣大林鎮,20539,7598,28137,0.2700358957955717,9,450,475,925,0.03287486228098234,14343,0.5097558375093294
嘉義縣東石鄉,19396,3398,22794,0.1490743178029306,4,200,64,264,0.011581995261911029,11945,0.5240414144073001
嘉義縣番路鄉,8355,2188,10543,0.20753106326472542,3,150,76,226,0.02143602390211515,5531,0.5246134876221189
嘉義縣六腳鄉,17518,4122,21640,0.19048059149722735,5,250,52,302,0.013955637707948243,11187,0.5169593345656193
嘉義縣鹿草鄉,11633,2845,14478,0.19650504213289127,NA,NA,NA,NA,NA,7698,0.5317032739328637
嘉義縣梅山鄉,13918,3810,17728,0.21491425992779783,5,250,236,486,0.027414259927797835,9367,0.5283731949458483
嘉義縣民雄鄉,45638,18263,63901,0.285801474155334,26,1300,635,1935,0.030281216256396612,31852,0.49845855307428677
嘉義縣朴子市,26396,10507,36903,0.2847193995068152,13,650,177,827,0.022410102159716012,18642,0.5051621819364279
嘉義縣水上鄉,34170,11395,45565,0.2500823000109733,17,850,207,1057,0.02319762975968397,21763,0.47762537035004937
嘉義縣太保市,24024,8743,32767,0.2668233283486435,13,650,150,800,0.024414807580797754,16954,0.5174108096560563
嘉義縣溪口鄉,10860,2717,13577,0.200117846357811,4,200,125,325,0.023937541430360167,7072,0.5208809015246373
嘉義縣新港鄉,21899,6603,28502,0.23166795312609642,9,450,199,649,0.022770331906532874,14852,0.521086239562136
嘉義縣義竹鄉,13676,3564,17240,0.20672853828306265,3,150,133,283,0.016415313225058004,9153,0.5309164733178654
嘉義縣中埔鄉,30987,9784,40771,0.23997449167300286,14,700,315,1015,0.024895146059699298,20211,0.4957199970567315
嘉義縣竹崎鄉,25743,6856,32599,0.21031319979140464,11,550,54,604,0.01852817571091138,16926,0.5192183809319304
金門縣金城鎮,22590,16010,38600,0.41476683937823833,0,0,1449,1449,0.03753886010362694,21324,0.5524352331606217
金門縣金湖鎮,16094,10149,26243,0.3867316998818733,0,0,1003,1003,0.03821971573371947,14531,0.5537095606447434
金門縣金寧鄉,18139,9942,28081,0.354047220540579,NA,NA,NA,NA,NA,14068,0.5009793098536377
金門縣金沙鎮,12152,6556,18708,0.35043831515929014,0,0,484,484,0.025871285011759674,10490,0.5607226854821467
金門縣烈嶼鄉,7748,3965,11713,0.33851276359600446,0,0,348,348,0.029710577990267224,6657,0.5683428669000257
金門縣烏坵鄉,361,230,591,0.38917089678510997,0,0,10,10,0.01692047377326565,332,0.5617597292724196
連江縣北竿鄉,1343,758,2101,0.36078058067586866,0,0,65,65,0.03093764873869586,1141,0.5430747263207997
連江縣東引鄉,780,391,1171,0.3339026473099915,0,0,36,36,0.030742954739538857,619,0.5286080273270709
