縣市,鄉鎮市區,送出冊數,送出張數,剩餘,總張數
屏東縣,春日鄉,0,0,85,85
屏東縣,獅子鄉,0,0,102,102
屏東縣,牡丹鄉,1,50,66,116
屏東縣,三地門鄉,1,50,61,111
宜蘭縣,宜蘭市,52,2600,237,2837
宜蘭縣,頭城鎮,11,550,74,624
宜蘭縣,羅東鎮,41,2050,246,2296
宜蘭縣,蘇澳鎮,13,650,77,727
宜蘭縣,礁溪鄉,7,350,772,1122
宜蘭縣,壯圍鄉,8,400,272,672
宜蘭縣,員山鄉,15,750,154,904
宜蘭縣,冬山鄉,24,1200,153,1353
宜蘭縣,五結鄉,18,900,186,1086
宜蘭縣,三星鄉,7,350,139,489
宜蘭縣,大同鄉,1,50,69,119
宜蘭縣,南澳鄉,1,50,88,138
花蓮縣,花蓮市,42,2100,448,2548
花蓮縣,鳳林鎮,2,100,48,148
花蓮縣,玉里鎮,6,300,94,394
花蓮縣,新城鄉,6,300,118,418
花蓮縣,吉安鄉,35,1750,208,1958
花蓮縣,壽豐鄉,5,250,110,360
花蓮縣,光復鄉,0,0,265,265
花蓮縣,豐濱鄉,0,0,90,90
花蓮縣,瑞穗鄉,2,100,69,169
花蓮縣,富里鄉,1,50,102,152
花蓮縣,秀林鄉,0,0,372,372
花蓮縣,萬榮鄉,1,50,48,98
花蓮縣,卓溪鄉,0,0,95,95
臺東縣,臺東市,39,1950,304,2254
臺東縣,成功鎮,2,100,101,201
臺東縣,關山鎮,0,0,198,198
臺東縣,長濱鄉,1,50,61,111
臺東縣,池上鄉,0,0,140,140
臺東縣,東河鄉,1,50,61,111
臺東縣,鹿野鄉,0,0,171,171
臺東縣,卑南鄉,3,150,128,278
臺東縣,大武鄉,1,50,43,93
臺東縣,綠島鄉,1,50,24,74
臺東縣,太麻里鄉,0,0,102,102
臺東縣,海端鄉,0,0,66,66
臺東縣,延平鄉,0,0,43,43
臺東縣,金峰鄉,1,50,27,77
臺東縣,達仁鄉,0,0,70,70
臺東縣,蘭嶼鄉,1,50,53,103
澎湖縣,馬公市,0,0,1057,1057
澎湖縣,湖西鄉,0,0,208,208
澎湖縣,白沙鄉,0,0,160,160
